index,plant_number,plant_diversity,rare_exotic,plant_type,PNS,PDS,RES,PTS,PLS
207,7,5,1,5,35,50,100,100,63.0
208,17,16,0,0,85,93.33,0,0,58.17
209,74,37,1,3,32.5,70.0,100,60,63.25
210,57,22,0,0,53.75,86.67,0,0,46.46
211,33,31,0,0,83.75,76.67,0,0,51.96
212,52,32,0,4,60.0,75.56,0,80,56.45
213,81,7,0,1,23.75,70,0,20,34.62
214,73,39,0,1,33.75,67.78,0,20,36.85
215,16,14,0,4,80,95.56,0,80,69.45
216,49,29,1,2,63.75,78.89,100,40,72.74
217,76,55,1,4,30.0,50.0,100,80,58.5
218,80,8,0,1,25.0,80,0,20,38.5
219,81,28,1,5,23.75,80.0,100,100,70.12
220,11,3,0,1,55,30,0,20,30.0
221,71,10,0,0,36.25,100,0,0,45.88
222,53,29,1,2,58.75,78.89,100,40,71.24
223,5,2,1,5,25,20,100,100,49.5
224,37,30,0,5,78.75,77.78,0,100,65.85
225,30,30,1,5,87.5,77.78,100,100,88.47
226,76,26,1,0,30.0,82.22,100,0,57.78
227,70,29,0,2,37.5,78.89,0,40,44.86
228,19,3,0,1,95,30,0,20,42.0
229,40,39,1,3,75.0,67.78,100,60,75.22
230,16,15,1,5,80,94.44,100,100,92.05
231,52,18,1,3,60.0,91.11,100,60,78.89
232,11,10,0,3,55,100,0,60,60.5
233,95,42,1,0,6.25,64.44,100,0,44.43
234,12,4,0,5,60,40,0,100,47.0
235,35,3,0,3,81.25,30,0,60,43.88
236,67,57,1,1,41.25,47.78,100,20,52.1
237,75,56,1,0,31.25,48.89,100,0,46.49
238,61,23,1,2,48.75,85.56,100,40,70.57
239,42,7,0,2,72.5,70,0,40,52.25
240,53,45,1,2,58.75,61.11,100,40,65.01
241,85,52,0,3,18.75,53.33,0,60,33.29
242,12,6,1,2,60,60,100,40,65.0
243,15,13,1,4,75,96.67,100,80,88.33
244,1,1,1,0,5,10,100,0,25.0
245,25,17,1,4,93.75,92.22,100,80,92.4
246,97,64,1,0,3.75,40.0,100,0,35.12
247,27,9,0,2,91.25,90,0,40,64.88
248,57,57,1,0,53.75,47.78,100,0,52.85
249,4,2,0,2,20,20,0,40,19.0
250,71,2,1,0,36.25,20,100,0,37.88
251,29,27,0,3,88.75,81.11,0,60,64.01
252,16,5,1,5,80,50,100,100,76.5
253,38,33,1,3,77.5,74.44,100,60,78.3
254,62,31,0,3,47.5,76.67,0,60,50.08
255,71,19,1,1,36.25,90.0,100,20,65.38
256,77,66,0,0,28.75,37.78,0,0,21.85
257,36,27,1,4,80.0,81.11,100,80,84.39
258,35,1,1,5,81.25,10,100,100,62.88
259,39,38,1,1,76.25,68.89,100,20,69.99
260,58,35,1,2,52.5,72.22,100,40,67.03
261,43,36,1,3,71.25,71.11,100,60,75.26
262,42,13,0,4,72.5,96.67,0,80,67.58
263,50,15,1,0,62.5,94.44,100,0,71.8
264,41,31,1,3,73.75,76.67,100,60,77.96
265,85,84,0,3,18.75,17.78,0,60,20.85
266,5,2,1,0,25,20,100,0,34.5
267,57,7,1,0,53.75,70,100,0,60.62
268,93,19,1,5,8.75,90.0,100,100,69.12
269,20,3,1,2,100,30,100,40,66.5
270,44,40,1,5,70.0,66.67,100,100,79.33
271,11,6,1,2,55,60,100,40,63.5
272,81,63,0,4,23.75,41.11,0,80,33.51
273,9,4,1,1,45,40,100,20,50.5
274,96,12,1,0,5.0,97.78,100,0,55.72
275,98,82,0,3,2.5,20.0,0,60,16.75
276,22,10,0,0,97.5,100,0,0,64.25
277,42,4,1,2,72.5,40,100,40,61.75
278,48,28,0,1,65.0,80.0,0,20,50.5
279,68,53,0,1,40.0,52.22,0,20,33.28
280,23,3,1,4,96.25,30,100,80,71.38
281,88,31,1,4,15.0,76.67,100,80,63.33
282,19,8,1,5,95,80,100,100,91.5
283,33,30,1,5,83.75,77.78,100,100,87.35
284,2,2,1,5,10,20,100,100,45.0
285,70,21,0,3,37.5,87.78,0,60,50.97
286,45,38,1,5,68.75,68.89,100,100,79.74
287,55,45,1,3,56.25,61.11,100,60,67.26
288,39,13,1,3,76.25,96.67,100,60,85.71
289,14,4,1,4,70,40,100,80,67.0
290,46,37,1,5,67.5,70.0,100,100,79.75
291,38,2,1,2,77.5,20,100,40,56.25
292,2,1,1,2,10,10,100,40,32.5
293,100,30,1,1,0.0,77.78,100,20,50.22
294,82,25,1,5,22.5,83.33,100,100,70.92
295,97,93,0,5,3.75,7.78,0,100,18.85
296,13,11,0,2,65,98.89,0,40,60.11
297,57,3,1,5,53.75,30,100,100,61.62
298,17,3,1,2,85,30,100,40,62.0
299,96,54,0,1,5.0,51.11,0,20,22.39
300,17,12,1,1,85,97.78,100,20,82.72
301,33,31,1,5,83.75,76.67,100,100,86.96
302,44,8,1,0,70.0,80,100,0,69.0
303,19,8,1,4,95,80,100,80,88.5
304,47,6,1,0,66.25,60,100,0,60.88
305,34,8,1,2,82.5,80,100,40,78.75
306,87,87,1,4,16.25,14.44,100,80,41.93
307,49,41,1,0,63.75,65.56,100,0,62.07
308,87,30,1,0,16.25,77.78,100,0,52.1
309,80,72,1,4,25.0,31.11,100,80,50.39
310,29,21,0,5,88.75,87.78,0,100,72.35
311,60,59,1,5,50.0,45.56,100,100,65.95
312,53,8,0,0,58.75,80,0,0,45.62
313,5,3,1,0,25,30,100,0,38.0
314,13,4,0,3,65,40,0,60,42.5
315,59,24,1,4,51.25,84.44,100,80,76.93
316,96,94,0,3,5.0,6.67,0,60,12.83
317,84,13,1,4,20.0,96.67,100,80,71.83
318,53,18,0,5,58.75,91.11,0,100,64.51
319,48,14,1,3,65.0,95.56,100,60,81.95
320,31,28,1,0,86.25,80.0,100,0,73.88
321,88,48,1,0,15.0,57.78,100,0,44.72
322,51,18,0,0,61.25,91.11,0,0,50.26
323,59,6,0,5,51.25,60,0,100,51.38
324,82,77,0,0,22.5,25.56,0,0,15.7
325,43,16,0,4,71.25,93.33,0,80,66.04
326,27,3,0,4,91.25,30,0,80,49.88
327,28,27,0,2,90.0,81.11,0,40,61.39
328,100,19,0,2,0.0,90.0,0,40,37.5
329,19,5,1,1,95,50,100,20,69.0
330,15,11,0,1,75,98.89,0,20,60.11
331,2,2,0,4,10,20,0,80,22.0
332,42,2,0,2,72.5,20,0,40,34.75
333,7,2,1,4,35,20,100,80,49.5
334,15,12,0,3,75,97.78,0,60,65.72
335,58,50,1,4,52.5,55.56,100,80,67.2
336,76,14,1,4,30.0,95.56,100,80,74.45
337,29,20,0,5,88.75,88.89,0,100,72.74
338,85,67,1,3,18.75,36.67,100,60,47.46
339,83,4,0,3,21.25,40,0,60,29.38
340,52,28,0,3,60.0,80.0,0,60,55.0
341,92,57,0,0,10.0,47.78,0,0,19.72
342,42,39,0,0,72.5,67.78,0,0,45.47
343,17,9,1,3,85,90,100,60,86.0
344,77,68,1,3,28.75,35.56,100,60,50.07
345,65,56,0,5,43.75,48.89,0,100,45.24
346,15,14,0,3,75,95.56,0,60,64.95
347,58,57,0,3,52.5,47.78,0,60,41.47
348,44,30,1,3,70.0,77.78,100,60,77.22
349,94,13,1,3,7.5,96.67,100,60,65.08
350,41,17,1,1,73.75,92.22,100,20,77.4
351,88,61,0,0,15.0,43.33,0,0,19.67
352,11,2,1,0,55,20,100,0,43.5
353,96,95,1,1,5.0,5.56,100,20,26.45
354,72,8,1,5,35.0,80,100,100,73.5
355,16,14,1,5,80,95.56,100,100,92.45
356,97,55,0,2,3.75,50.0,0,40,24.62
357,77,40,1,0,28.75,66.67,100,0,51.96
358,74,65,0,1,32.5,38.89,0,20,26.36
359,85,62,0,0,18.75,42.22,0,0,20.4
360,45,36,1,0,68.75,71.11,100,0,65.51
361,98,36,0,3,2.5,71.11,0,60,34.64
362,72,72,0,4,35.0,31.11,0,80,33.39
363,85,35,0,1,18.75,72.22,0,20,33.9
364,35,20,1,2,81.25,88.89,100,40,81.49
365,1,1,0,4,5,10,0,80,17.0
366,85,52,0,1,18.75,53.33,0,20,27.29
367,95,82,0,0,6.25,20.0,0,0,8.88
368,96,68,0,3,5.0,35.56,0,60,22.95
369,54,30,1,1,57.5,77.78,100,20,67.47
370,48,20,1,4,65.0,88.89,100,80,82.61
371,77,11,0,1,28.75,98.89,0,20,46.24
372,21,20,0,5,98.75,88.89,0,100,75.74
373,11,5,1,5,55,50,100,100,69.0
374,55,32,1,3,56.25,75.56,100,60,72.32
375,35,14,0,2,81.25,95.56,0,40,63.82
376,56,8,1,5,55.0,80,100,100,79.5
377,87,76,1,4,16.25,26.67,100,80,46.21
378,86,40,0,1,17.5,66.67,0,20,31.58
379,51,39,0,0,61.25,67.78,0,0,42.1
380,27,10,0,1,91.25,100,0,20,65.38
381,98,33,1,2,2.5,74.44,100,40,52.8
382,16,1,1,5,80,10,100,100,62.5
383,56,12,0,3,55.0,97.78,0,60,59.72
384,69,30,1,0,38.75,77.78,100,0,58.85
385,51,48,0,3,61.25,57.78,0,60,47.6
386,3,2,0,2,15,20,0,40,17.5
387,74,55,1,5,32.5,50.0,100,100,62.25
388,82,54,1,0,22.5,51.11,100,0,44.64
389,52,2,1,1,60.0,20,100,20,48.0
390,80,59,1,0,25.0,45.56,100,0,43.45
391,56,55,0,1,55.0,50.0,0,20,37.0
392,56,38,1,4,55.0,68.89,100,80,72.61
393,11,7,1,5,55,70,100,100,76.0
394,44,15,1,1,70.0,94.44,100,20,77.05
395,10,9,0,4,50,90,0,80,58.5
396,66,25,1,2,42.5,83.33,100,40,67.92
397,94,83,0,1,7.5,18.89,0,20,11.86
398,14,3,1,1,70,30,100,20,54.5
399,23,20,0,5,96.25,88.89,0,100,74.99
400,10,3,1,3,50,30,100,60,54.5
401,97,73,1,5,3.75,30.0,100,100,46.62
402,73,42,1,1,33.75,64.44,100,20,55.68
403,57,5,1,3,53.75,50,100,60,62.62
404,81,39,1,4,23.75,67.78,100,80,62.85
405,8,6,0,2,40,60,0,40,39.0
406,60,29,0,0,50.0,78.89,0,0,42.61
407,48,19,0,5,65.0,90.0,0,100,66.0
408,12,10,1,3,60,100,100,60,82.0
409,75,71,0,3,31.25,32.22,0,60,29.65
410,74,25,1,4,32.5,83.33,100,80,70.92
411,61,33,0,0,48.75,74.44,0,0,40.68
412,58,7,1,5,52.5,70,100,100,75.25
413,11,9,0,0,55,90,0,0,48.0
414,32,29,1,4,85.0,78.89,100,80,85.11
415,67,21,1,2,41.25,87.78,100,40,69.1
416,37,25,1,2,78.75,83.33,100,40,78.79
417,87,77,0,5,16.25,25.56,0,100,28.82
418,83,43,0,2,21.25,63.33,0,40,34.54
419,13,9,1,2,65,90,100,40,77.0
420,33,10,1,0,83.75,100,100,0,80.12
421,75,19,1,2,31.25,90.0,100,40,66.88
422,84,51,0,4,20.0,54.44,0,80,37.05
423,91,11,1,4,11.25,98.89,100,80,69.99
424,49,42,1,1,63.75,64.44,100,20,64.68
425,86,68,0,5,17.5,35.56,0,100,32.7
426,86,55,1,0,17.5,50.0,100,0,42.75
427,47,20,0,1,66.25,88.89,0,20,53.99
428,44,32,0,1,70.0,75.56,0,20,50.45
429,18,5,0,2,90,50,0,40,50.5
430,13,9,0,5,65,90,0,100,66.0
431,44,40,0,4,70.0,66.67,0,80,56.33
432,49,10,0,1,63.75,100,0,20,57.12
433,89,80,0,5,13.75,22.22,0,100,26.9
434,57,3,1,2,53.75,30,100,40,52.62
435,87,31,1,4,16.25,76.67,100,80,63.71
436,37,29,0,4,78.75,78.89,0,80,63.24
437,31,10,1,1,86.25,100,100,20,83.88
438,48,44,1,3,65.0,62.22,100,60,70.28
439,99,37,1,4,1.25,70.0,100,80,56.88
440,68,54,0,1,40.0,51.11,0,20,32.89
441,78,18,1,0,27.5,91.11,100,0,60.14
442,83,62,1,4,21.25,42.22,100,80,53.15
443,14,12,0,2,70,97.78,0,40,61.22
444,11,3,1,3,55,30,100,60,56.0
445,66,19,1,0,42.5,90.0,100,0,64.25
446,29,27,1,2,88.75,81.11,100,40,81.01
447,4,4,0,3,20,40,0,60,29.0
448,65,48,0,3,43.75,57.78,0,60,42.35
449,11,6,0,0,55,60,0,0,37.5
450,41,7,1,1,73.75,70,100,20,69.62
451,18,2,1,3,90,20,100,60,63.0
452,90,18,1,3,12.5,91.11,100,60,64.64
453,79,1,0,0,26.25,10,0,0,11.38
454,33,14,0,4,83.75,95.56,0,80,70.57
455,94,78,1,0,7.5,24.44,100,0,30.8
456,100,37,0,2,0.0,70.0,0,40,30.5
457,16,2,0,3,80,20,0,60,40.0
458,82,80,1,0,22.5,22.22,100,0,34.53
459,15,14,1,4,75,95.56,100,80,87.95
460,69,3,0,5,38.75,30,0,100,37.12
461,19,10,1,0,95,100,100,0,83.5
462,79,46,0,4,26.25,60.0,0,80,40.88
463,54,12,0,4,57.5,97.78,0,80,63.47
464,47,5,0,3,66.25,50,0,60,46.38
465,61,3,1,2,48.75,30,100,40,51.12
466,33,2,1,0,83.75,20,100,0,52.12
467,45,16,0,4,68.75,93.33,0,80,65.29
468,95,43,0,0,6.25,63.33,0,0,24.04
469,46,35,1,5,67.5,72.22,100,100,80.53
470,23,22,1,5,96.25,86.67,100,100,94.21
471,62,41,0,1,47.5,65.56,0,20,40.2
472,9,8,0,2,45,80,0,40,47.5
473,26,2,0,0,92.5,20,0,0,34.75
474,41,20,1,4,73.75,88.89,100,80,85.24
475,61,17,0,5,48.75,92.22,0,100,61.9
476,25,10,1,0,93.75,100,100,0,83.12
477,84,43,1,0,20.0,63.33,100,0,48.17
478,48,28,1,5,65.0,80.0,100,100,82.5
479,57,25,1,1,53.75,83.33,100,20,68.29
480,64,64,1,4,45.0,40.0,100,80,59.5
481,35,6,1,0,81.25,60,100,0,65.38
482,56,39,0,4,55.0,67.78,0,80,52.22
483,38,21,0,0,77.5,87.78,0,0,53.97
484,42,19,1,3,72.5,90.0,100,60,82.25
485,78,55,0,5,27.5,50.0,0,100,40.75
486,57,23,1,0,53.75,85.56,100,0,66.07
487,94,46,1,2,7.5,60.0,100,40,49.25
488,82,8,0,5,22.5,80,0,100,49.75
489,82,52,1,4,22.5,53.33,100,80,57.42
490,96,87,0,0,5.0,14.44,0,0,6.55
491,19,15,0,1,95,94.44,0,20,64.55
492,9,4,1,2,45,40,100,40,53.5
493,50,37,0,4,62.5,70.0,0,80,55.25
494,20,15,1,2,100,94.44,100,40,89.05
495,57,49,0,4,53.75,56.67,0,80,47.96
496,18,17,1,3,90,92.22,100,60,88.28
497,41,18,0,0,73.75,91.11,0,0,54.01
498,4,2,1,4,20,20,100,80,45.0
499,50,36,0,2,62.5,71.11,0,40,49.64
500,100,34,1,1,0.0,73.33,100,20,48.67
501,79,37,1,1,26.25,70.0,100,20,55.38
502,16,5,0,3,80,50,0,60,50.5
503,23,23,1,0,96.25,85.56,100,0,78.82
504,88,41,1,5,15.0,65.56,100,100,62.45
505,9,9,1,2,45,90,100,40,71.0
506,21,21,0,2,98.75,87.78,0,40,66.35
507,66,29,0,1,42.5,78.89,0,20,43.36
508,18,8,1,0,90,80,100,0,75.0
509,47,36,1,3,66.25,71.11,100,60,73.76
510,71,17,0,0,36.25,92.22,0,0,43.15
511,40,26,1,4,75.0,82.22,100,80,83.28
512,53,50,1,4,58.75,55.56,100,80,69.07
513,10,3,1,5,50,30,100,100,60.5
514,10,8,1,5,50,80,100,100,78.0
515,67,45,0,4,41.25,61.11,0,80,45.76
516,82,76,0,1,22.5,26.67,0,20,19.08
517,56,33,0,0,55.0,74.44,0,0,42.55
518,67,20,1,1,41.25,88.89,100,20,66.49
519,21,11,0,2,98.75,98.89,0,40,70.24
520,67,37,0,2,41.25,70.0,0,40,42.88
521,26,21,1,1,92.5,87.78,100,20,81.47
522,81,39,0,4,23.75,67.78,0,80,42.85
523,83,22,0,1,21.25,86.67,0,20,39.71
524,85,80,1,4,18.75,22.22,100,80,45.4
525,6,1,0,0,30,10,0,0,12.5
526,83,74,1,5,21.25,28.89,100,100,51.49
527,27,25,1,4,91.25,83.33,100,80,88.54
528,82,4,1,5,22.5,40,100,100,55.75
529,70,38,1,3,37.5,68.89,100,60,64.36
530,32,26,1,3,85.0,82.22,100,60,83.28
531,10,1,0,3,50,10,0,60,27.5
532,54,31,1,1,57.5,76.67,100,20,67.08
533,44,39,0,2,70.0,67.78,0,40,50.72
534,92,41,1,3,10.0,65.56,100,60,54.95
535,17,12,0,2,85,97.78,0,40,65.72
536,31,15,0,2,86.25,94.44,0,40,64.93
537,58,16,0,0,52.5,93.33,0,0,48.42
538,7,3,1,4,35,30,100,80,53.0
539,54,16,0,2,57.5,93.33,0,40,55.92
540,74,41,0,1,32.5,65.56,0,20,35.7
541,64,60,1,2,45.0,44.44,100,40,55.05
542,64,3,0,3,45.0,30,0,60,33.0
543,65,59,0,1,43.75,45.56,0,20,32.07
544,75,46,0,0,31.25,60.0,0,0,30.38
545,37,32,1,2,78.75,75.56,100,40,76.07
546,69,2,0,3,38.75,20,0,60,27.62
547,18,9,1,3,90,90,100,60,87.5
548,47,3,1,0,66.25,30,100,0,50.38
549,73,72,0,2,33.75,31.11,0,40,27.01
550,71,37,0,3,36.25,70.0,0,60,44.38
551,65,58,1,4,43.75,46.67,100,80,61.46
552,88,79,0,1,15.0,23.33,0,20,15.67
553,13,7,1,2,65,70,100,40,70.0
554,72,47,0,1,35.0,58.89,0,20,34.11
555,78,66,1,4,27.5,37.78,100,80,53.47
556,6,1,0,1,30,10,0,20,15.5
557,92,43,1,4,10.0,63.33,100,80,57.17
